klient_id,nimi,linn,liitumise_kuupäev
1,Laura Tamm,Tallinn,2025-04-12
2,Martin Sepp,Pärnu,2025-08-19
3,Elena Kukk,Tartu,2025-02-05
4,Andres Luik,Narva,2025-11-23
5,Kati Lepik,Tallinn,2025-03-30
6,Markus Mägi,Viljandi,2025-06-14
7,Mari Kask,Tartu,2025-01-15
8,Sander Koppel,Kuressaare,2025-09-02
9,Triin Sikk,Tallinn,2025-07-22
10,Jüri Oja,Pärnu,2025-10-05
11,Piret Tamm,Tallinn,2025-05-18
12,Kristjan Sepp,Tartu,2025-12-01
13,Laura Luik,Viljandi,2025-02-14
14,Margus Kukk,Tallinn,2025-04-20
15,Anna Lepik,Narva,2025-08-30
16,Toomas Mägi,Kuressaare,2025-03-11
17,Liis Kask,Tallinn,2025-06-01
18,Andres Koppel,Pärnu,2025-10-22
19,Elena Sikk,Tartu,2025-07-07
20,Markus Oja,Tallinn,2025-11-02
21,Mari Tamm,Viljandi,2025-01-29
22,Sander Sepp,Tallinn,2025-09-15
23,Triin Luik,Tartu,2025-05-25
24,Jüri Kukk,Pärnu,2025-12-10
25,Kati Lepik,Narva,2025-02-28
26,Martin Mägi,Tallinn,2025-08-04
27,Laura Kask,Kuressaare,2025-04-05
28,Kristjan Koppel,Tartu,2025-10-18
29,Piret Sikk,Tallinn,2025-03-17
30,Toomas Oja,Viljandi,2025-06-25
